^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
59,Sacred Heart College (Auckland),09 5293660,09 5293661,office@sacredheart.school.nz,James Dale,http://www.sacredheart.school.nz,250 West Tamaki Road,Glendowie,Auckland,250 West Tamaki Road,Glendowie,Auckland,1071,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,State: Integrated,Boys School,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Glen Innes North,Orakei Ward,174.872413,-36.868894,8,1292,837,92,162,96,27,10,68
60,Saint Kentigern Girls' School,09 5201400,09 5247657,skg_admin@saintkentigern.com,Sandra Hastie,http://www.saintkentigern.com,514 Remuera Road,Remuera,Auckland,PO Box 28399,Remuera,Auckland,1541,Main Urban Area,Full Primary,Not Applicable,Private: Fully Reg.,Girls School,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Waiata,Orakei Ward,174.805238,-36.880973,10,194,150,4,8,31,0,0,1
61,Baradene College,09 5246019,09 5224077,admin@baradene.school.nz,Sandy Pasley,http://www.baradene.school.nz,237 Victoria Avenue,Remuera,Auckland,PO Box 28906,Remuera,Auckland,1541,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Orakei South,Orakei Ward,174.800324,-36.865643,9,1116,804,81,87,91,6,8,39
62,St Peter's College (Epsom),09 5248108,09 5249459,admin@st-peters.school.nz,Kieran Fouhy,http://www.st-peters.school.nz,Mountain Road,Grafton,Auckland,23 Mountain Road,Epsom,Auckland,1023,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Grafton East,Waitemata and Gulf Ward,174.769673,-36.867787,8,1314,713,104,215,223,18,6,35
63,Marcellin College,09 6256509,09 6257835,marcellincollege@xtra.co.nz,Brendan Schollum (acting),http://www.marcellin.school.nz,617 Mt Albert Road,Royal Oak,Auckland,PO Box 24126,Royal Oak,Auckland,1345,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Hillsborough East,Albert-Eden-Roskill Ward,174.766435,-36.91013,3,632,52,40,371,152,8,4,5
64,Epsom Girls Grammar School,09 6305963,09 6389143,office@eggs.school.nz,Madeline Gunn,http://www.eggs.school.nz,Silver Road,Epsom,Auckland,Silver Road,Epsom,Auckland,1023,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Girls School,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Epsom North,Albert-Eden-Roskill Ward,174.774123,-36.876429,9,2202,986,126,160,746,48,7,129
65,Glendowie College,09 5759128,09 5754460,adminis@glendowie-college.school.nz,Louise Moore,http://www.glendowie-college.school.nz,Crossfield Road,Glendowie,Auckland,19 Crossfield Road,Glendowie,Auckland,1071,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Glen Innes North,Orakei Ward,174.868137,-36.862578,9,1092,664,54,52,214,23,21,64
66,Dilworth School,09 5231060,09 5206183,info@dilworth.school.nz,Donald MacLean,http://www.dilworth.school.nz/,2 Erin Street,Remuera,Auckland,Private Bag 28904,Remuera,Auckland,1541,Main Urban Area,Composite (Year 1-15),School with Boarding Facilities,Private: Fully Reg.,Boys School,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Mt St John,Albert-Eden-Roskill Ward,174.781062,-36.880303,4,610,201,137,209,44,15,4,0
67,Diocesan School For Girls,09 5200221,09 5206778,office@diocesan.school.nz,Heather McRae,http://www.diocesan.school.nz,Clyde Street,Epsom,Auckland,Clyde Street,Epsom,Auckland,1051,Main Urban Area,Composite (Year 1-15),School with Boarding Facilities,Private: Fully Reg.,Girls School,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Mt St John,Albert-Eden-Roskill Ward,174.778296,-36.880477,10,1327,941,41,25,266,6,4,44
68,St Cuthbert's College (Epsom),09 5204159,09 5249374,reception@stcuthberts.school.nz,Lynda Reid,http://www.stcuthberts.school.nz,Market Road,Epsom,Auckland,PO Box 26020,Epsom,Auckland,1344,Main Urban Area,Composite (Year 1-15),School with Boarding Facilities,Private: Fully Reg.,Girls School,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Mt St John,Albert-Eden-Roskill Ward,174.77825,-36.887581,10,1398,849,53,59,374,16,9,38
69,Mt Albert Grammar School,09 8462044,09 8462042,headmaster@mags.school.nz,Dale Burden,http://www.mags.school.nz,36 Alberton Ave,Mount Albert,Auckland,36 Alberton Avenue,Mount Albert,Auckland,1025,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Mt Albert Central,Albert-Eden-Roskill Ward,174.725349,-36.884707,7,2722,1165,369,519,449,99,8,113
70,Marist College,09 8468311,09 8151441,admin@maristcollege.school.nz,Monica Johnson,http://www.maristcollege.school.nz,31 Alberton Avenue,Mount Albert,Auckland,31 Alberton Avenue,Mount Albert,Auckland,1025,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Mt Albert Central,Albert-Eden-Roskill Ward,174.726132,-36.881938,7,752,361,51,128,175,22,3,12
73,Hebron Christian College (Auckland),09 8462159,09 8462139,admin@hebron.ac.nz,Geoff Matthews,http://www.hebron.ac.nz,1 Mclean Street,Mount Albert,Auckland,PO Box 77105,Mount Albert,Auckland,1350,Main Urban Area,Composite (Year 1-15),Not Applicable,Private: Fully Reg.,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Owairaka East,Albert-Eden-Roskill Ward,174.711189,-36.888609,8,230,106,4,22,83,3,2,10
74,Mt Roskill Grammar,09 6210050,09 6210055,admin@mrgs.school.nz,Gregory Watson,http://www.mrgs.school.nz,Frost Road,Mount Roskill,Auckland,Frost Road,Mount Roskill,Auckland,1041,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Akarana,Albert-Eden-Roskill Ward,174.747139,-36.912708,4,2166,236,122,476,1080,118,25,109
75,Lynfield College,09 6270600,09 6270609,admin@lynfield.school.nz,Stephen Bovaird,http://www.lynfield.school.nz,White Swan Road,Mount Roskill,Auckland,191 White Swan Road,Mount Roskill,Auckland,1041,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,New Lynn,Tamaki Makaurau,Lynfield North,Albert-Eden-Roskill Ward,174.715436,-36.921035,7,1882,503,109,228,870,82,9,81
77,Bethlehem College,07 5766769,07 5791751,principal@beth.school.nz,Eoin Crosbie,http://www.beth.school.nz,Elder Lane,Bethlehem,Tauranga,Private Bag 12003,Tauranga Mail Centre,Tauranga,3143,Main Urban Area,Composite (Year 1-15),Not Applicable,State: Integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Tauranga,Waiariki,Bethlehem,Otumoetai-Pyes Pa Ward,176.111235,-37.704982,10,1581,1224,101,15,134,17,23,67
78,Avondale College,09 8287024,09 8200183,admin@avcol.school.nz,Brent Lewis,http://www.avcol.school.nz,Victor Street,Avondale,Auckland,59 Victor Street,Avondale,Auckland,1026,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Whau,Auckland Region,Auckland South,Auckland,Kelston,Tamaki Makaurau,Avondale West,Whau Ward,174.691137,-36.891482,4,2603,605,273,691,727,161,14,132
79,Edgewater College,09 5769039,09 5769037,enquiries@edgewater.school.nz,Allan Vester,http://www.edgewater.school.nz,32 Edgewater Drive,Pakuranga,Auckland,32 Edgewater Drive,Pakuranga,Manukau,2010,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Edgewater,Howick Ward,174.874746,-36.922507,4,738,79,153,318,136,23,4,25
80,Pakuranga College,09 5347159,09 5342365,info@pakuranga.school.nz,Michael Williams,http://www.pakuranga.school.nz,Pigeon Mountain Road,Bucklands Beach,Auckland,180 Pigeon Mountain Road,Half Moon Bay,Manukau,2012,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Pigeon Mountain North,Howick Ward,174.901771,-36.89763,8,2083,783,195,139,698,100,11,157
81,St Kentigern College (Pakuranga),09 5770749,09 5770700,skc_admin@saintkentigern.com,Steve Cole,http://www.saintkentigern.com,130 Pakuranga Road,Pakuranga,Auckland,PO Box 51060,,Auckland,2140,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,Private: Fully Reg.,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Sunnyhills,Howick Ward,174.875035,-36.909712,10,1791,1312,70,54,308,7,17,23
82,Aidanfield Christian School,03 3388153,03 3390821,office@aidanfield.school.nz,Mark Richardson,http://www.aidanfield.school.nz/,2 Nash Road,Halswell,Christchurch,2 Nash Road,Halswell,Christchurch,8025,Main Urban Area,Composite (Year 1-15),Not Applicable,State: Integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Wigram,Te Tai Tonga,Aidanfield,Riccarton-Wigram Ward,172.572488,-43.563513,7,236,151,19,5,31,26,4,0
83,Kelston Boys' High School,09 8186185,09 8186183,k.fearnley@kbhs.school.nz,Brian Evans,http://www.kbhs.school.nz,Archibald Road,New Lynn,Auckland,PO Box 15103,New Lynn,Waitakere,0640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Boys School,Auckland- Whau,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Kelston Central,Whau Ward,174.666886,-36.898785,4,824,92,146,471,69,22,7,17
84,Kelston Girls' College,09 8276063,09 8273996,reception@kelstongirls.school.nz,Linda Fox,http://www.kelstongirls.school.nz,Great North Road,New Lynn,Auckland,PO Box 15798,New Lynn,Waitakere,0640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Girls School,Auckland- Whau,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Kelston Central,Whau Ward,174.664361,-36.908063,3,600,27,85,346,80,51,7,4
85,One Tree Hill College,09 5795049,09 5795047,office@onetreehillcollege.school.nz,Nicholas Coughlan,http://www.onetreehillcollege.school.nz,421 Great South Road,Penrose,Auckland,PO Box 17471,Greenlane,Auckland,1546,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Auckland,Maungakiekie,Tamaki Makaurau,Penrose,Maungakiekie-Tamaki Ward,174.80696,-36.902825,3,940,81,182,358,260,33,4,22
86,Onehunga High School,09 6366006,09 6364465,ps@ohs.school.nz,Deidre Shea,http://www.ohs.school.nz,24 Pleasant Street,Onehunga,Auckland,24 Pleasant Street,Onehunga,Auckland,1061,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Auckland,Maungakiekie,Tamaki Makaurau,Onehunga South West,Maungakiekie-Tamaki Ward,174.770962,-36.919501,4,1197,231,224,587,113,14,6,22
87,Howick College,09 5344492,09 5346574,secretary@howick.school.nz,Iva Ropati,http://www.howickcollege.school.nz,Sandspit Road,Howick South,Auckland,PO Box 38142,Howick,Manukau,2145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Botany,Tamaki Makaurau,Meadowland,Howick Ward,174.939278,-36.90657,10,1867,1110,191,145,276,71,13,61
88,Otahuhu College,09 9634000,09 2762906,enquiries@otahuhucollege.school.nz,Neil Watson,http://www.otahuhucollege.school.nz,Mangere Road,Otahuhu,Auckland,Private Bag 93317,Otahuhu,Auckland,1640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Otahuhu West,Manukau Ward,174.840645,-36.953118,1,1206,16,163,890,131,3,3,0
89,Kings College,09 2760600,09 2760670,g.syms@kingscollege.school.nz,Michael Leach,http://www.kingscollege.school.nz,Golf Avenue,Otahuhu,Auckland,PO Box 22012,Otahuhu,Auckland,1640,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,Private: Fully Reg.,Boys/Senior Co-Ed.,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Otahuhu West,Manukau Ward,174.837266,-36.959802,10,921,639,62,41,145,3,4,27
90,McAuley High School,09 2768715,09 2764800,office@mcauleyhigh.school.nz,Anne Miles,http://www.mcauleyhigh.school.nz/,26 High Street,Otahuhu,Auckland,PO Box 22480,Otahuhu,Auckland,1640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Integrated,Girls School,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Fairburn,Manukau Ward,174.847352,-36.944408,1,740,8,38,649,31,11,3,0
91,Mangere College,09 2754029,09 2755275,enquiries@mangere.school.nz,John Heyes,http://www.mangere.school.nz,23 Bader Drive,Mangere,Auckland,PO Box 43240,,Auckland,2153,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Viscount,Manukau Ward,174.791589,-36.959618,1,698,6,120,553,10,6,3,0
93,Auckland Seventh-Day Adventist H S,09 2759640,09 2755380,info@asdah.school.nz,Sally Dalzell,http://www.asdah.school.nz/,119 Mountain Road,Mangere Bridge,Auckland,PO Box 59047,Mangere Bridge,Manukau,2022,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Mangere Bridge,Manukau Ward,174.785003,-36.956393,2,192,4,15,168,5,0,0,0
94,De La Salle College,09 2764319,09 2767992,admin@delasalle.school.nz,Myles Hogarty,http://www.delasalle.school.nz,81 Gray Avenue,Mangere East,Auckland,PO Box 86001,Mangere East,Manukau,2158,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Mangere East,Manukau Ward,174.837764,-36.964806,1,987,12,50,883,38,1,2,1
95,Papatoetoe High School,09 2784086,09 2785043,office@papatoetoehigh.school.nz,Peter Gall,http://www.papatoetoehigh.school.nz,Nicholson Avenue,Papatoetoe,Auckland,PO Box 23088,Hunters Corner,Manukau,2155,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Papatoetoe East,Manukau Ward,174.871805,-36.975523,3,1565,90,229,389,800,38,3,16
96,Aorere College,09 2785608,09 2790640,office@aorere.ac.nz,Patrick Drumm,http://www.aorere.ac.nz/,Portage Road,Papatoetoe,Auckland,PO Box 23084,Hunters Corner,Manukau,2155,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Kohuora,Manukau Ward,174.833081,-36.981416,2,1494,56,266,799,357,7,4,5
97,Sir Edmund Hillary Collegiate Senior School,09 2745782 Ext 405,09 2746972,office.seniorschool@sehc.school.nz,Peter Uys,http://www.sehc.school.nz,2 Franklyne Road,Otara,Auckland,PO Box 61054,Otara,Manukau,2159,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Otara North,Manukau Ward,174.87557,-36.951437,1,493,1,94,395,0,0,3,0
99,Manurewa High School,09 2690690,09 2690691,mhs@manurewa.school.nz,Salvatore Gargiulo,http://www.manurewa.school.nz,67 Browns Road,Manurewa,Auckland,PO Box 75247,Manurewa,Manukau,2243,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Wiri,Manurewa-Papakura Ward,174.882302,-37.011253,2,1842,170,434,917,276,30,8,7
100,James Cook High School,09 2683950,09 2683951,admin@jchs.school.nz,Vaughan Couillault,http://www.jchs.school.nz,Dr Pickering Avenue,Manurewa,Auckland,PO Box 75647,Manurewa,Manukau,2243,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Leabank,Manurewa-Papakura Ward,174.885978,-37.03498,1,1262,57,596,519,71,18,1,0
101,Papakura High School,09 2964400,09 2964401,enquiries@papakurahigh.school.nz,Peter Heron,http://www.papakurahigh.school.nz,Willis Road,,Papakura,PO Box 72080,,Papakura,2244,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Papakura,Auckland Region,Auckland South,Auckland,Papakura,Hauraki-Waikato,Massey Park,Manurewa-Papakura Ward,174.950801,-37.062945,2,731,69,460,160,34,6,2,0
102,Rosehill College,09 2950661,09 2950699,inquiries@rosehillcollege.school.nz,Susan Blakely,http://www.rosehillcollege.school.nz,5 Edinburgh Avenue,,Papakura,PO Box 72546,,Papakura,2244,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Papakura,Auckland Region,Auckland South,Auckland,Papakura,Hauraki-Waikato,Rosehill,Manurewa-Papakura Ward,174.936559,-37.076585,6,1670,902,334,136,207,42,14,35
103,Pukekohe High School,09 2386089,09 2386084,exec@pukekohehigh.school.nz,Ian McKinnon,http://www.pukekohehigh.school.nz,Harris Street,,Pukekohe,PO Box 306,,Pukekohe,2340,Secondary Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Bledisloe Park,Franklin Ward,174.905826,-37.204552,6,1554,939,307,109,146,22,6,25
104,Wesley College,09 2370224,09 2383582,barbaran@wesley.school.nz,Ian Faulkner,http://www.wesley.school.nz,State Highway 22,,Pukekohe,PO Box 58,,Pukekohe,2340,Rural Area,Secondary (Year 7-15),School with Boarding Facilities,State: Integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Kingseat,Franklin Ward,174.890163,-37.148293,2,321,12,50,248,1,0,1,9
105,Waiuku College,09 2358139,09 2358137,office@waiuku-college.school.nz,Thomas Van Der Laan,http://www.waiuku-college.school.nz/,Constable Road,,Waiuku,PO Box 124,,Waiuku,2341,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Waiuku West,Franklin Ward,174.725723,-37.251019,7,879,593,173,34,32,13,6,28
106,Tuakau College,09 2368521,09 2368522,secretary@tuakaucollege.com,Christopher Betty,http://www.tuakaucollege.com,Elizabeth Street,,Tuakau,PO Box 102,,Tuakau,2342,Secondary Urban Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Auckland South,Auckland,Waikato,Hauraki-Waikato,Redoubt,Awaroa ki Tuakau Ward,174.93426,-37.263023,4,596,299,225,45,18,6,1,2
108,Onewhero Area School,09 2328866,09 2328862,office@onewhero.school.nz,Gregory Fenton,http://www.onewhero.school.nz/,Hall Road,Onewhero,Tuakau,Hall Road,RD 2,Tuakau,2697,Rural Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Auckland South,Auckland,Waikato,Hauraki-Waikato,Onewhero,Onewhero Ward,174.916276,-37.332158,7,519,375,115,11,14,3,1,0
109,Coromandel Area School,07 8668893,07 8668051,j_niethe@coroarea.school.nz,Asha Peppiatt,http://www.coroarea.school.nz,Woollams Avenue,,Coromandel,PO Box 84,,Coromandel,3543,Minor Urban Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Coromandel,Coromandel-Colville Ward,175.500031,-36.759266,3,176,105,57,4,6,0,0,4
110,Mercury Bay Area School,07 8665916,07 8664002,mbas@mbas.ac.nz,John Wright,http://www.mbas.ac.nz,South Highway,,Whitianga,20 South Highway,,Whitianga,3510,Minor Urban Area,Composite (Year 1-15),Not Applicable,State: Not integrated,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Whitianga,Mercury Bay Ward,175.698102,-36.841247,6,874,636,178,5,19,6,6,24
